,Name,Team,Categories,Speaker Scores
0,Mikko Vitug,AMU VB,,"['84', '82', '82', '87', '82']"
1,Matt Caito,HYBRID CT,,"['83', '81', '83', '84', '83']"
2,Aly Barranda,AMU VB,,"['83', '80', '81', '86', '82']"
3,Emery Taylor,HYBRID CT,,"['82', '81', '82', '85', '81']"
4,Zi Cheng Huang,HYBRID HS,,"['82', '81', '81', '84', '80']"
5,Naomi Panovka,MGDU PS,,"['82', '80', '82', '80', '84']"
6,Greg Weaving,PU LW,,"['82', '77', '82', '83', '82']"
7,Ruth Silcoff,HYBRID HS,,"['82', '82', '79', '83', '79']"
8,Ye Joo Han,HYBRID SH,,"['81', '80', '79', '82', '82']"
9,Xiao-Ke Lu,PU LW,,"['82', '77', '81', '84', '80']"
10,Jacob Silcoff,MGDU PS,,"['80', '80', '80', '81', '82']"
11,Rumen Marinov,SU AM,ESL,"['82', '81', '81', '80', '79']"
12,Matt Song,HYBRID SH,,"['81', '80', '79', '82', '81']"
13,Ahmed El-Sammak,LSE ES,,"['82', '80', '79', '80', '82']"
14,Evan Shen,DUDS SS,,"['79', '78', '84', '81', '81']"
15,Wajeeh Maaz,HYBRID BM,,"['80', '79', '79', '80', '84']"
16,David Bloom,YU BN,Novice,"['77', '81', '83', '83', '78']"
17,Nikolay Angelov,SU AM,ESL,"['80', '81', '80', '80', '80']"
18,Karel Brandenbarg,UA BJ,,"['79', '81', '79', '81', '81']"
19,Emma Jones,UA BJ,,"['79', '81', '79', '81', '81']"
20,Franka Boender,HYBRID BM,ESL,"['80', '80', '79', '80', '82']"
21,Nitin Subramanian,DUDS SS,,"['79', '79', '84', '80', '79']"
22,Ben Goldberg,CU GK,,"['78', '81', '79', '81', '80']"
23,Nicole Kagan,HVU KR,,"['79', '82', '78', '79', '81']"
24,Simar Kohli,CU GK,,"['80', '80', '78', '80', '80']"
25,Joe Cox,NU CS,,"['79', '78', '80', '79', '82']"
26,Muzamil Godil,JHU GY,,"['81', '79', '77', '80', '81']"
27,Michael Ning,YU BN,,"['78', '78', '82', '83', '77']"
28,Jenna Hong,HVU HS,Novice,"['78', '81', '80', '78', '80']"
29,Abhijith Subramanian,LSE ES,,"['81', '80', '78', '77', '81']"
30,Dennis Su,NU CS,,"['81', '77', '78', '80', '81']"
31,Cameron Chacon,YU CP,,"['78', '78', '80', '79', '81']"
32,Sreyan Kanungo,HWS KK,ESL,"['79', '79', '81', '80', '77']"
33,Dan Reznichenko,DUDS FR,,"['78', '78', '79', '82', '79']"
34,Bishal Podder,UBC WP,ESL,"['77', '78', '81', '79', '81']"
35,Maya Razmi,HVU KR,,"['78', '81', '78', '78', '80']"
36,Vidit Desai,UWODS DL,,"['78', '77', '82', '79', '79']"
37,Ben Park,YU CP,,"['78', '77', '81', '78', '81']"
38,Anais Kneppers,EDS BK,,"['76', '79', '78', '82', '80']"
39,Bobo Wong,UBC WP,,"['76', '78', '82', '79', '80']"
40,Manon Fuchs,DUDS FR,,"['78', '78', '78', '82', '78']"
41,Tyler Li,UWODS DL,,"['78', '76', '81', '80', '79']"
42,Redacted,—,,"['80', '79', '76', '81', '78']"
43,Redacted,—,ESL,"['81', '79', '76', '79', '78']"
44,Ely Altman,YU AS,Novice,"['79', '77', '82', '77', '78']"
45,Daniel Sheremeta,HVU HS,Novice,"['78', '80', '78', '77', '79']"
46,Sarim Karim,HWS KK,ESL,"['78', '77', '80', '80', '77']"
47,Ted Chang,HYBRID PC,,"['76', '78', '79', '78', '81']"
48,Elias Silver,YU AS,Novice,"['79', '75', '82', '77', '79']"
49,Nathaniel Yoon,JHU GY,,"['79', '80', '76', '79', '77']"
50,Aryan Sehgal,YU KS,,"['80', '79', '77', '79', '76']"
51,Arunasva Bhuyan,EDS BK,,"['76', '79', '77', '81', '78']"
52,Jaimy Kim,YU KS,,"['81', '79', '77', '79', '75']"
53,Hung Ha,DAV HN,"Novice, ESL","['78', '79', '76', '76', '82']"
54,Anthony Galipeau,CTU OG,,"['78', '77', '78', '78', '79']"
55,Natania Olusanya,CTU OG,,"['77', '78', '78', '78', '79']"
56,Judah Purwanto,HYBRID PC,ESL,"['77', '77', '79', '77', '80']"
57,Lelan Hu,YU CH,,"['77', '78', '76', '79', '80']"
58,Denzelle Jude Caro,UST TC,ESL,"['75', '79', '78', '77', '81']"
59,Nicholas Abernethy,QDU AK,,"['78', '81', '80', '77', '74']"
60,Mir Abdullah Al Rakib,HYBRID RA,ESL,"['78', '79', '78', '76', '77']"
61,Jumanah Ahmed,HYBRID RA,,"['79', '78', '77', '76', '78']"
62,Diggory Waddle,HYBRID WR,,"['77', '76', '78', '77', '80']"
63,Jomari Jesus Tan,UST TC,ESL,"['76', '79', '77', '76', '80']"
64,Nimai Koneru,QDU AK,,"['77', '79', '80', '78', '74']"
65,Amelie Warenryd,UPENN WR,,"['78', '77', '77', '78', '77']"
66,Eyas Valdez,CTU VC,,"['77', '79', '78', '78', '75']"
67,Colin Coppock,ULV CM,,"['77', '79', '77', '77', '76']"
68,Joshua Tandiono,YU TA,Novice,"['79', '76', '78', '76', '77']"
69,Nicholas Rees,UBC RB,Novice,"['79', '77', '78', '77', '75']"
70,Mauricio Jarufe,PUCP VJ,ESL,"['77', '79', '79', '77', '74']"
71,Narayan Sharma,DU SM,ESL,"['79', '80', '77', '76', '74']"
72,Surabhi Menon,DU SM,ESL,"['77', '81', '78', '76', '74']"
73,Kunli Zhang,UPENN WR,Novice,"['77', '77', '77', '78', '76']"
74,Esilanna McMenamin,ULV CM,,"['77', '78', '77', '76', '77']"
75,Kristina Cruz,HYBRID CE,ESL,"['76', '78', '76', '77', '78']"
76,Mariana Colicchio,YU CH,Novice,"['76', '77', '76', '78', '78']"
77,Saumya Malik,PU CM,,"['77', '78', '79', '76', '75']"
78,Daniel Ju,PU JM,,"['78', '75', '78', '79', '75']"
79,Wolf Cukier,PU CM,,"['76', '79', '79', '75', '76']"
80,Livi McElrea,QDU GM,,"['79', '77', '79', '73', '77']"
81,Rylee Conner,SIU CR,,"['78', '78', '76', '76', '76']"
82,Nir Amin,HVU AL,Novice,"['78', '77', '77', '75', '77']"
83,Aldrin Aujero,YU TA,Novice,"['78', '75', '77', '76', '78']"
84,Ishmam Tasnim,BUET TM,ESL,"['76', '77', '77', '79', '75']"
85,Mitch Robinson,HYBRID WR,,"['76', '75', '78', '76', '79']"
86,Diego Rubio,USMA LR,ESL,"['76', '78', '75', '79', '76']"
87,Millie Caughey,DUDS BC,Novice,"['75', '75', '77', '78', '79']"
88,Dzung Nguyen,DAV HN,"Novice, ESL","['76', '78', '74', '75', '81']"
89,Amaar  Jeyasothy,CU JY,,"['76', '80', '78', '72', '78']"
90,Catherine Liu,HVU AL,Novice,"['77', '77', '76', '76', '77']"
91,Max Christie,EDS BC,,"['78', '76', '76', '77', '76']"
92,Jason Huang,DUDS HC,,"['76', '76', '78', '75', '78']"
93,Gaura Cappelletti,CTU VC,,"['75', '78', '78', '76', '76']"
94,Nick Bayer,DUDS BC,,"['75', '75', '78', '78', '77']"
95,Yashar Khan,BDU KS,"Novice, ESL","['75', '77', '76', '79', '76']"
96,Phillip Geiser,LCC GM,,"['79', '77', '75', '75', '77']"
97,Simon Luo,USMA LR,ESL,"['75', '79', '75', '78', '76']"
98,Jane Mentzinger,PU JM,,"['78', '74', '76', '79', '76']"
99,Rikk Nicholson Nalzaro,HYBRID GN,ESL,"['75', '79', '76', '74', '79']"
100,Lauren Meikle,UWODS MZ,Novice,"['77', '73', '77', '80', '76']"
101,Brandon Gusain,QDU GM,,"['78', '76', '80', '72', '77']"
102,Julia Sands,BDU KS,,"['75', '76', '76', '78', '77']"
103,Joshanne Chiang,UCSD CC,,"['77', '76', '76', '78', '75']"
104,Shirsha Songshoptak,BUET ST,ESL,"['75', '75', '79', '76', '77']"
105,Adam Ursenbach,UWODS CU,,"['75', '78', '78', '77', '74']"
106,Bradley Tidwell,YU TY,,"['77', '75', '74', '79', '77']"
107,Lucas Budd,UBC RB,Novice,"['78', '76', '78', '77', '73']"
108,Sajid Bin Hasnat,BRAC AH,ESL,"['77', '75', '78', '75', '76']"
109,Gaveal Fan,CU SF,"Novice, ESL","['75', '75', '77', '78', '76']"
110,Peter Kouzovnikov,CTU MK,Novice,"['76', '78', '77', '76', '74']"
111,Charles Ndlovu,UROCH NI,"Novice, ESL","['78', '77', '75', '77', '74']"
112,Cas Mulford,LCC GM,,"['78', '78', '75', '74', '76']"
113,Grace Zhu,UWODS MZ,Novice,"['76', '73', '77', '79', '76']"
114,July Winters,HWS PW,,"['80', '76', '74', '75', '76']"
115,Shi Wen Yeo,YU TY,,"['79', '75', '73', '78', '76']"
116,Dylan Young,CU JY,,"['75', '80', '77', '72', '77']"
117,Jonathan Stolow,CU SF,Novice,"['76', '75', '76', '77', '76']"
118,Gayatri Somaiya,CU SJ,,"['76', '76', '77', '75', '76']"
119,Cameron Patrick,CGU DP,,"['76', '77', '76', '76', '75']"
120,Callum McAllister,CTU MK,Novice,"['75', '77', '77', '76', '75']"
