,Round Name,Panel,Rankings
0,Round 1,"Kenji Theodore TateⒸ , Liu QianyuⓉ , 缪妙Ⓣ","['3 SLSP 2 (OO)', '2 DRC 1 (OG)', '1 RCL 1 (CG)', '0 AAU 1 (CO)']"
1,Round 1,"Srijan PoudelⒸ , Katherine Harris","['3 ADNU 1 (OG)', '2 Sunway 2 (CO)', '1 NWU 1 (CG)', '0 SSPU 1 (OO)']"
2,Round 1,Tim GamezⒸ,"['3 Tokyo 1 (OO)', '2 CUHK 2 (CG)', '1 SCAU 1 (OG)', '0 AEU 1 (CO)']"
3,Round 1,"Aliya FairuzⒸ , Đan Đỗ","['3 THU 1 (CG)', '2 AJCUI 1 (OO)', '1 UI 2 (CO)', '0 UPMin 1 (OG)']"
4,Round 1,"Juanita RestrepoⒸ , Paolo Taino","['3 ASET 1 (CG)', '2 FTU HCMC 1 (OG)', '1 RIC 1 (OO)', '0 CUPL 1 (CO)']"
5,Round 1,"Sowmya SrinivasanⒸ , Minenhle NzanaⓉ","['3 Ateneo 1 (OG)', '2 IIUM 1 (CO)', '1 SCISU 1 (OO)', '0 NEU 2 (CG)']"
6,Round 1,"Shudipto AhmedⒸ , Allain Bulatao","['3 Ateneo 2 (CG)', '2 BITS Goa 1 (OG)', '1 UST 1 (OO)', '0 CUG（Wuhan） 1 (CO)']"
7,Round 1,"Daniel WiyartaⒸ , Houymean Lim","['3 BAC 1 (OG)', '2 IIUM 2 (CG)', '1 NNU 1 (OO)', '0 HBNU 1 (CO)']"
8,Round 1,"Tiffany ChinⒸ , Fariha Tahsin HaqueⓉ , Ivy Marie PilatanⓉ","['3 UI 1 (CO)', '2 BFSU 1 (CG)', '1 UPLB 1 (OG)', '0 NSU 2 (OO)']"
9,Round 1,"Denzelle Jude CaroⒸ , Haelvyn Pratagrahana Putra","['3 BHU 1 (CG)', '2 NEU 1 (OG)', '1 MSU-GSC 1 (OO)', '0 SISU 1 (CO)']"
10,Round 1,"S. SriramⒸ , Aradom Belai","['3 DAV 3 (OG)', '2 XDU 1 (CG)', '1 CUPB 1 (OO)', '0 BISU 1 (CO)']"
11,Round 1,"Tanvir ShahriarⒸ , Jerwin Roy R. Villacruz","['3 NMIMS SOL 1 (CO)', '2 BRAC 1 (OG)', '1 BUET 2 (OO)', '0 KUET 1 (CG)']"
12,Round 1,"Jessica MusulinⒸ , Charrelle Gabrielle Caissa Libria Teguh , Hazreel HaqiemⓉ","['3 IIT KGP 1 (OG)', '2 SLSP 1 (CG)', '1 BRAC 2 (CO)', '0 SUFE 3 (OO)']"
13,Round 1,"Judah PurwantoⒸ , Shirley Ji WangⓉ","['3 Tokyo 2 (OG)', '2 BUET 1 (CG)', '1 DTU 1 (OO)', '0 MMSU-CTE 1 (CO)']"
14,Round 1,"AinⒸ , Harshavardhan JakherⓉ","['3 NTU 2 (CO)', '2 IUB 1 (OO)', '1 BUP 1 (CG)', '0 Kyoto 1 (OG)']"
15,Round 1,"Matthew Conley-EvansⒸ , Leonardo","['3 UCSC 1 (CG)', '2 UNILA 1 (OO)', '1 MUST 1 (CO)', '0 CAFUC 1 (OG)']"
16,Round 1,"Cheeto VitugⒸ , Bai HaonanⓉ","['3 CFAU 1 (OG)', '2 DAV 1 (CG)', '1 ECNU 1 (CO)', '0 GUPSL 1 (OO)']"
17,Round 1,"Revan Lim Tai JieⒸ , Adjudicator 1","['3 DAV 2 (CG)', '2 Chula 1 (CO)', '1 SUST 2 (OG)', '0 SU 1 (OO)']"
18,Round 1,"Sally LeeⒸ , Mahesh RⓉ","['3 UPD 2 (OG)', '2 JSMU 1 (CO)', '1 CSUST 1 (OO)', '0 XDSISU 1 (CG)']"
19,Round 1,"Ichiro ArboleⒸ , Cao Nguyen Tuan KhoiⓉ , Umar BuckusⓉ","['3 NUS 1 (OG)', '2 IIT BHU 1 (OO)', '1 CU 1 (CG)', '0 FDU 1 (CO)']"
20,Round 1,"Luigi AlcañesesⒸ , Adwait Mitra","['3 CUC 1 (OO)', '2 ECUPL 1 (OG)', '1 IEU 1 (CG)', '0 WKU 1 (CO)']"
21,Round 1,"Chesta BⒸ , Beatrice Cuizon","['3 CUHK 1 (OG)', '2 GNLU 1 (CO)', '1 Swing 2 (CG)', '0 CUHKSZ 1 (OO)']"
22,Round 1,"Tengku OmarⒸ , Devashish Trivedi","['3 Malaya 1 (CG)', '2 RUET 1 (CO)', '1 XISU 1 (OO)', '0 CUMT 1 (OG)']"
23,Round 1,"Priyanka DasⒸ , Josef Florendo","['3 UPD 1 (OO)', '2 NUSTZJ 1 (OG)', '1 DAV 4 (CO)', '0 GDPU 1 (CG)']"
24,Round 1,"Vans EsguerraⒸ , Keshav Mohan","['3 GLC 1 (OG)', '2 DBC 1 (CO)', '1 UNRAM 1 (OO)', '0 TU 1 (CG)']"
