,Name,Team,Categories,Speaker Scores
0,David Africa,Ateneo 1,,"['81', '83', '83', '81', '85', '85', '83', '84']"
1,Maeca Pansensoy,Ateneo 1,,"['82', '82', '83', '83', '80', '83', '83', '82']"
2,Tota Takahashi,Tokyo 1,EFL,"['82', '81', '82', '80', '81', '84', '82', '84']"
3,Kanan Ishizaka,Tokyo 1,EFL,"['83', '82', '81', '80', '81', '82', '82', '84']"
4,Irene Dela Cruz,Ateneo 2,,"['82', '81', '82', '82', '79', '81', '83', '82']"
5,Josh Kemp,THU 1,,"['81', '80', '87', '83', '81', '75', '83', '80']"
6,Tobi Leung,Ateneo 2,,"['81', '80', '81', '82', '79', '81', '83', '82']"
7,Bea Legaspi,UPD 2,,"['79', '82', '81', '82', '81', '81', '80', '80']"
8,Sadid Jubayer Murshed,IBA-DU 1,,"['81', '83', '82', '80', '81', '79', '82', '78']"
9,Shaun Lee,NUS 1,,"['80', '81', '82', '78', '82', '78', '82', '82']"
10,Dinesh Subramaniam,BAC 1,,"['80', '79', '80', '77', '80', '82', '81', '83']"
11,Trimann Johl,BAC 1,,"['80', '81', '80', '77', '80', '80', '81', '82']"
12,Issac Ko,NUS 1,,"['81', '82', '82', '76', '81', '77', '82', '80']"
13,Miggy Sulit,UPD 2,,"['79', '79', '80', '81', '80', '81', '80', '80']"
14,Ryosuke Yoshida,Tokyo 2,EFL,"['82', '78', '79', '80', '76', '80', '81', '82']"
15,Ethan Limkakeng,DLSU 1,,"['80', '80', '79', '78', '81', '79', '79', '81']"
16,Syed Shadab Tajwar,IBA-DU 1,,"['80', '81', '81', '79', '80', '77', '81', '78']"
17,Jaymal Lodha,IIT-B 2,,"['83', '78', '78', '82', '77', '77', '80', '81']"
18,Rohan Kapur,NTU 1,,"['82', '77', '79', '76', '82', '79', '80', '80']"
19,Nasa Tsuchiya,Tokyo 2,EFL,"['82', '76', '79', '80', '76', '81', '80', '81']"
20,Armi Requina,UPLB 1,,"['77', '79', '80', '77', '79', '84', '78', '81']"
21,Pep Danguilan,UPD 1,,"['80', '79', '77', '81', '77', '80', '81', '79']"
22,Toshiya Ozawa,Keio 1,EFL,"['79', '81', '80', '79', '80', '75', '81', '79']"
23,Christopher Jose Carlos,UPD 1,,"['80', '80', '77', '80', '77', '80', '80', '79']"
24,Kiki Liew,UMAC 1,EFL,"['83', '80', '79', '77', '77', '81', '77', '79']"
25,Abhishek Acharya,IIT-B 2,,"['82', '78', '77', '81', '77', '76', '80', '81']"
26,Suman Mitra,GLC 1,,"['77', '79', '79', '79', '78', '79', '80', '80']"
27,Charlotte Reyes,DLSU 1,,"['79', '79', '78', '77', '81', '77', '80', '80']"
28,Takua Baba,Keio 1,EFL,"['79', '80', '81', '78', '79', '76', '79', '79']"
29,Tony Wang,THU 1,EFL,"['78', '79', '80', '80', '79', '75', '81', '79']"
30,Shireen Ali,Sunway 1,,"['80', '80', '78', '79', '80', '77', '79', '77']"
31,Darren Woo,NTU 1,,"['81', '78', '79', '75', '80', '79', '79', '79']"
32,Ooi Hon Son,CUHK 1,,"['80', '79', '79', '79', '74', '80', '78', '81']"
33,Belle Barbin,UPLB 1,,"['78', '77', '80', '76', '78', '83', '78', '80']"
