,Round Name,Panel,Rankings
0,Round 1,"Mehul JoshiⒸ , Himanshi Wadhwa 💢 , Smriti Prabakaran , Ishita RaiⓉ","['1 HNLU 2 (G)', '0 CIDS 1 (O)']"
1,Round 1,"Vaishnavi SharmaⒸ , Muskan Verma , Sumedha Mandal , Mahima TahilianiⓉ","['1 KMV (O)', '0 CIDS 2 (G)']"
2,Round 1,"Utkarsh MishraⒸ , Nasibur Rahaman , Yaghika Beniwal , Aprajita SinghⓉ","['1 DRC (G)', '0 CUSB (O)']"
3,Round 1,"Ishanvi GoyalⒸ , Disha Mehndiratta , Shailai TandonⓉ","['1 Drc-Srcc (G)', '0 JGU 1 (O)']"
4,Round 1,"Durdhana haqⒸ , Pavni Goyal , Pranjal Singla , Ayesha VakilⓉ","['1 Gargi 1 (G)', '0 MNLU 3 (O)']"
5,Round 1,"Simran NischalⒸ , Sanjana Saxena , AnshikaⓉ","['1 MHC 1 (O)', '0 Gargi 2 (G)']"
6,Round 1,"Anjana G PillaiⒸ , Rushwika Muddapappu","['1 Maitreyi 2 (G)', '0 GLC 1 (O)']"
7,Round 1,"Simridhi MakhijaⒸ , Parakh Ahooja , Tanisha , SamriddhiⓉ","['1 Kho gaye hum kahan (O)', '0 GLC 2 (G)']"
8,Round 1,"Sanjana RanjanⒸ , Himanshi Bhardwaj , Navya yadav","['1 Hindu-LSR cross (G)', '0 JDMC (O)']"
9,Round 1,"reedⒸ , Tavishi Duggal , Remle CadelinaⓉ","['1 MNLU 1 (O)', '0 HNLU 1 (G)']"
10,Round 1,"Varsha VenkatⒸ , Muskan sheoran , Tulika Singh , Riya MehlawatⓉ","['1 Take me on a Momo Date (O)', '0 JGU 2 (G)']"
11,Round 1,"Aayana Rai BhojaniⒸ , Joy Hadome , Nanaki RandhawaⓉ","['1 MHC 2 (G)', '0 KESSC (O)']"
12,Round 1,"Kimya ChughⒸ , Priyanshi , Dalaisha AggarwalⓉ","['1 KMC (G)', '0 SRCC (O)']"
13,Round 1,"Pranjal JainⒸ , Shreya agarwal , Tanya Singh , Reva SinghⓉ","['1 LSR (O)', '0 Padayon (G)']"
14,Round 1,"Aishani MishraⒸ , Muskan Srivastava , Ananya Aditi SinghⓉ","['1 SSC (O)', '0 Maitreyi 1 (G)']"
15,Round 1,"CherishiⒸ , Anshika Singh , Aqeelah WahidⓉ","['1 SWING 1 (G)', '0 MNLU 2 (O)']"
16,Round 1,"Diksha NavaniⒸ , Komal Haswani , Siddhant SinghⓉ , Urmita SharmaⓉ","['1 Ramjas (O)', '0 Poi last chance (G)']"
17,Round 1,"MehreenⒸ , Aksheeta , Palkin Lohia , Shreya SureshⓉ","['1 SSE (G)', '0 Shivaji (O)']"
18,Round 1,"Tarushi SharmaⒸ , Sakshi Maheshwari , Aditi SinghⓉ","['1 USLLS (O)', '0 SVC (G)']"
19,Round 2,"Ishanvi GoyalⒸ , Rushwika Muddapappu , Tanisha","['1 Maitreyi 1 (O)', '0 CIDS 1 (G)']"
20,Round 2,"Nasibur RahamanⒸ , Pranjal Singla , Smriti Prabakaran , Shailai TandonⓉ","['1 CIDS 2 (G)', '0 HNLU 1 (O)']"
21,Round 2,"Vaishnavi SharmaⒸ , Nanaki Randhawa , Tavishi Duggal 💢 , Ishita RaiⓉ , Muskan sheoranⓉ","['1 Shivaji (O)', '0 CUSB (G)']"
22,Round 2,"Tarushi SharmaⒸ , TehzeebⓉ","['1 SSE (O)', '0 DRC (G)']"
23,Round 2,"Diksha NavaniⒸ , Muskan Verma , Simran Nischal , Aditi SinghⓉ","['1 Drc-Srcc (O)', '0 Kho gaye hum kahan (G)']"
24,Round 2,"Varsha VenkatⒸ , VanshikaⓉ","['1 LSR (G)', '0 Gargi 1 (O)']"
25,Round 2,"Simridhi MakhijaⒸ , Disha Mehndiratta , Tanya Singh , Remle CadelinaⓉ","['1 Gargi 2 (O)', '0 MNLU 3 (G)']"
26,Round 2,"Mehul JoshiⒸ , Sumedha Mandal , Tulika Singh 💢 , Ayesha VakilⓉ","['1 GLC 2 (O)', '0 GLC 1 (G)']"
27,Round 2,"Aayana Rai BhojaniⒸ , Mahima TahilianiⓉ","['1 Hindu-LSR cross (O)', '0 MNLU 1 (G)']"
28,Round 2,"Kimya ChughⒸ , Shreya agarwal , Yaghika Beniwal , Aqeelah WahidⓉ","['1 HNLU 2 (O)', '0 KMV (G)']"
29,Round 2,"Anshika SinghⒸ , Sakshi Maheshwari , Sanjana Saxena , Reva SinghⓉ","['1 JGU 2 (O)', '0 JDMC (G)']"
30,Round 2,"Anjana G PillaiⒸ , Palkin Lohia , Priyanshi , Ananya Aditi SinghⓉ","['1 Padayon (O)', '0 JGU 1 (G)']"
31,Round 2,"CherishiⒸ , W. M. Januda WanninayakeⓉ","['1 KMC (O)', '0 Take me on a Momo Date (G)']"
32,Round 2,"Aishani MishraⒸ , Dalaisha AggarwalⓉ","['1 MHC 1 (G)', '0 Maitreyi 2 (O)']"
