,Round Name,Panel,Rankings
0,Round 1,"Mezen LababidiⒸ , Priyanshi Gupta , Utkarsh Pandey","['1 Ashoka-HRC-LSR (O)', '0 1985 (P)']"
1,Round 1,"Narayan SharmaⒸ , Madhav AroraⓉ","['1 Bengal-Bihar Cross (P)', '0 Team Boulevardier (O)']"
2,Round 1,"BharatⒸ , Airene GangulyⓉ","['1 madame speaker (P)', '0 CVS (O)']"
3,Round 1,"Vansh ChadhaⒸ , Anjali Sah , Aryan","['1 PM Dump (O)', '0 Debmoc (P)']"
4,Round 1,"Kanav AggarwalⒸ , Ankon Bhattacharya , Arjun Sethi","['1 OnlyPain no Fans (O)', '0 DSC-IP Cross (P)']"
5,Round 1,"Shruti PoddarⒸ , Dhruv JainⓉ","['1 Fantastic Speaks & Where To Find T (O)', '0 SXCM A (P)']"
6,Round 1,"Ishaan ChawdharyⒸ , Priyank SainiⓉ","['1 Here for the toxicity (O)', '0 Team Rhetorica, BHU (P)']"
7,Round 1,"Raffy PerezⒸ , Himanshu KumarⓉ","['1 Hindu A (P)', '0 Team Smarticles (O)']"
8,Round 1,"Anushmita DuttaⒸ , Gunraj Singh , Japjot Kaur","['1 ZHC 1 (P)', '0 idklol (O)']"
9,Round 1,"Rachit TapariaⒸ , Chatenya , Harsh Mamnani , S. MihirⓉ","['1 We Got This (O)', '0 KESSC_DebSoc (P)']"
10,Round 1,"Tanish RaiⒸ , Diksha Sharma","['1 STS (O)', '0 Litwick (P)']"
11,Round 1,"Ayush VermaⒸ , Harshul Jaggi , Shaurya NagⓉ","[""1 Luke's Diner- OP JGU (P)"", '0 SXCM (O)']"
12,Round 1,"Soumitra TonapiⒸ , Angad Singh , Sara Gupta","['1 MLNC Ex MLNC (O)', '0 Sector 14 saga (P)']"
13,Round 1,"Priya PitreⒸ , Aayush Bermola , Siddharth Garg","['1 Osm nishu (O)', '0 ZHC 2 (P)']"
14,Round 1,"V. SayiramⒸ , Arshia Mittal , Divyangna Chowdhury , Aditi PrasunⓉ","['1 Outside i hear hear inside i fear (P)', '0 Sasta Suits (O)']"
15,Round 2,"Rachit TapariaⒸ , Priyanshi Gupta , Shruti Poddar","['1 1985 (O)', '0 Sasta Suits (P)']"
16,Round 2,Raffy PerezⒸ,"['1 Ashoka-HRC-LSR (O)', '0 PM Dump (P)']"
17,Round 2,"Priya PitreⒸ , Anushmita Dutta , Arshia Mittal","['1 Bengal-Bihar Cross (O)', '0 Fantastic Speaks & Where To Find T (P)']"
