,Name,Team,Categories,Speaker Scores
0,Ashutosh Bahuguna,Fantastic Speaks & Where To Find T,Open,"['77.00', '78.17', '78.50', '77.25', '78.20']"
1,Riddhi Mukherjee,Ashoka-HRC-LSR,Open,"['77.00', '79.00', '77.33', '77.33', '78.33']"
2,Sripad Atri,OnlyPain no Fans,Open,"['77.17', '77.00', '78.00', '78.00', '77.67']"
3,Arjun Bansal,Ashoka-HRC-LSR,Open,"['77.33', '78.00', '77.17', '77.50', '77.33']"
4,Keshav Mohan,Fantastic Speaks & Where To Find T,Open,"['76.00', '77.83', '78.00', '77.00', '78.00']"
5,Mahesh R,PM Dump,Open,"['76.67', '77.00', '76.83', '78.75', '77.17']"
6,Yatharth Dhingra,Hindu A,Open,"['75.00', '78.33', '77.67', '77.33', '77.83']"
7,Advaya Gulati,Debmoc,Open,"['77.33', '78.00', '76.00', '77.50', '77.25']"
8,Gauri Ramachandran,Hindu A,Open,"['76.00', '77.67', '77.50', '77.00', '77.67']"
9,Jaanvi Saraf,Bengal-Bihar Cross,Open,"['76.00', '79.00', '76.83', '76.33', '77.50']"
10,Udayvir Singhvi,Ashoka-HRC-LSR,Open,"['76.67', '77.00', '77.33', '77.17', '77.33']"
11,Manak Kataria,Hindu A,Open,"['76.00', '77.67', '77.00', '77.33', '77.33']"
12,Sweekriti Pathak,PM Dump,"Open, Novice","['77.83', '76.00', '77.00', '77.88', '76.33']"
13,Nandini Singhal,MLNC Ex MLNC,Open,"['75.33', '76.67', '77.50', '77.67', '77.83']"
14,Anwesha Bhajan,OnlyPain no Fans,Open,"['76.50', '77.00', '78.00', '77.00', '76.33']"
15,Anupa,Here for the toxicity,Open,"['76.00', '78.00', '77.83', '77.17', '75.67']"
16,Abhilasha,Here for the toxicity,Open,"['75.50', '78.00', '77.17', '76.83', '77.17']"
17,Shivansh,Here for the toxicity,Open,"['77.00', '78.50', '77.33', '76.17', '75.67']"
18,Sloka Roy,Bengal-Bihar Cross,Open,"['76.00', '78.67', '76.50', '76.33', '76.75']"
19,Karina Chawla,Osm nishu,"Open, Novice","['76.33', '77.50', '77.00', '76.00', '77.10']"
20,Pranav Garg,Debmoc,Open,"['76.17', '77.67', '75.33', '78.00', '76.75']"
21,Paritosh Mishra,MLNC Ex MLNC,Open,"['75.50', '76.50', '78.00', '76.33', '77.50']"
22,Nishant Mishra,Bengal-Bihar Cross,Open,"['76.00', '78.00', '76.67', '76.50', '76.50']"
23,Nipun Gaur,Debmoc,Open,"['76.17', '78.00', '76.00', '77.00', '76.50']"
24,Reva Satish Makhija,Luke's Diner- OP JGU,"Open, Novice","['76.75', '76.00', '77.25', '76.50', '77.00']"
25,Anjani Chauhan,PM Dump,Open,"['76.17', '76.00', '77.00', '77.75', '76.17']"
26,Chris Cai,madame speaker,"Open, Novice","['78.00', '77.00', '76.00', '76.33', '75.67']"
27,Mahika Roy,Osm nishu,"Open, Novice","['75.67', '77.67', '76.67', '76.00', '76.80']"
28,Antony George,MLNC Ex MLNC,Open,"['74.00', '76.50', '78.00', '76.67', '77.50']"
29,Tanushree Gupta,Luke's Diner- OP JGU,"Open, Novice","['76.75', '76.00', '77.00', '76.33', '76.50']"
30,Haesol Park,madame speaker,"Open, Novice","['79.00', '76.00', '76.33', '76.17', '75.00']"
31,Deeksha Sharma,CVS,"Open, Novice","['77.00', '76.83', '75.67', '77.00', '75.30']"
32,Tanaya Mujumdar,STS,"Open, Novice","['79.00', '76.00', '75.25', '76.00', '75.00']"
33,Kartikay Kataria,Osm nishu,"Open, Novice","['75.67', '77.00', '76.50', '76.00', '75.90']"
34,Henry Lin,madame speaker,"Open, Novice","['77.00', '77.00', '76.00', '75.50', '75.33']"
35,Shashank Balakrishnan,STS,"Open, Novice","['79.25', '76.00', '75.75', '75.25', '74.33']"
36,Khyati,DSC-IP Cross,"Open, Novice","['75.83', '76.83', '77.00', '75.50', '74.67']"
37,Dhruvi Agarwal,Sasta Suits,"Open, Novice","['76.33', '75.33', '76.17', '76.17', '75.67']"
38,Suyash Tripathi,STS,"Open, Novice","['78.50', '76.00', '75.50', '75.50', '73.83']"
39,Vaibhav Chadha,We Got This,"Open, Novice","['76.50', '75.83', '75.33', '76.50', '75.17']"
40,Sanskruti Yukta Nayak,Sector 14 saga,"Open, Novice","['74.67', '75.67', '76.00', '77.50', '75.33']"
41,Zeeshan Ali,We Got This,"Open, Novice","['76.33', '76.67', '75.33', '76.50', '74.17']"
42,Ashin Biju,We Got This,"Open, Novice","['76.00', '76.00', '75.17', '77.50', '74.17']"
