,Round Name,Panel,Rankings
0,Round 1,"Andrius BudionoⒸ , Vansh Chadha","['3 Ateneo AV (OO)', '2 LSE/McGill CP (CG)', '1 NYUAD AS (OG)', '0 Bates OM (CO)']"
1,Round 1,"Vladimira ŠuflajⒸ , Narayan Sharma","['3 Is Moss an Endangered Species? (OG)', '2 Lukashenko Skywalkerov and Hanasta (OO)', '1 BA ER (CO)', '0 DLSU PP (CG)']"
2,Round 1,"Matt Conley-EvansⒸ , Ankit Kumar Shah","['3 wę cræve víoleñcè 😾 (OO)', '2 CUHK C (OG)', '1 BDU A (CG)', '0 St Andrews W (CO)']"
3,Round 1,"Adel Mostaque AhmedⒸ , Heidi Silvennoinen","['3 Western/Queens CW (CO)', '2 they make it a wasteland and call (OO)', '1 KNU A (OG)', '0 Caroll College GG (CG)']"
4,Round 1,Devashish TrivediⒸ,"['3 Taiwanese Adoptees (CO)', ""2 we're transitioning to become cats (CG)"", '1 Carrot Farm (OO)', '0 LSE Mars (OG)']"
5,Round 1,Yarn ShihⒸ,"['3 Stanford PS (OO)', '2 Cornell FO (OG)', '1 Chinese University of Hong Kong b (CO)', '0 SHDC Achilles (CG)']"
6,Round 1,Taha IqbalⒸ,"['3 Cornell KP (CO)', '2 Open A&H (OG)', '1 Diplomatic Academy of Vietnam (OO)', '0 Tokyo TY (CG)']"
7,Round 1,KlaudiaⒸ,"['3 NLU A (CO)', '2 Yale BN (OO)', '1 DLSZ A (OG)', '0 CUHK A (CG)']"
8,Round 1,Abhishek AcharyaⒸ,"['3 CUHK E (CG)', '2 GUU AN (OG)', '1 GUU PS (OO)', '0 IDA A (CO)']"
9,Round 1,"Jane MentzingerⒸ , Dani Georgiev","['3 Kyiv MC (OO)', '2 Hybrid TM (CG)', '1 DTU AK (OG)', '0 MSU-IIT C (CO)']"
10,Round 1,Tin PuljićⒸ,"['3 LSE Uranus (CO)', '2 Eton A (OG)', '1 Nottingham A (OO)', '0 LSE Jupiter (CG)']"
11,Round 1,"Eva QuinonesⒸ , Pranav Anand","['3 Eton AS (CG)', '2 IHU EM (OO)', '1 IHU YM (CO)', '0 Speechcraft AD (OG)']"
12,Round 1,Mukhtar TashkenbayevⒸ,"['3 UADS GK (OO)', '2 MSU-IIT A (CG)', '1 Eton B (OG)', '0 Yale CT (CO)']"
13,Round 1,Nikola MichaylovⒸ,"['3 Yale SN (CO)', '2 Hart House BS (OO)', '1 GUU FZ (OG)', '0 Eton C (CG)']"
14,Round 1,"Uzair TajuddinⒸ , Estera Petrescu","['3 MA Independent GF (OO)', '2 Speechcraft SG (CO)', '1 Speechcraft ZX (CG)', '0 SHDC c u in the bin room :eyes: (OG)']"
15,Round 1,Ilija IvaniševićⒸ,"['3 Mindanao State University - Iligan (CO)', '2 Oxford Union A (OO)', '1 St Andrews Z (OG)', '0 Rosario A (CG)']"
16,Round 1,Marta VasićⒸ,"['3 NLIU A (CG)', '2 Princeton CM (OG)', '1 SUFE 1 (OO)', '0 Oxford AY (CO)']"
17,Round 1,Njuguna MachariaⒸ,"['3 Sofia A (OG)', '2 UNWE A (CG)', '1 SHDC Red (CO)', '0 Speechcraft AB (OO)']"
18,Round 2,"Nikola MichaylovⒸ , Heidi Silvennoinen","['3 Ateneo AV (CG)', '2 LSE Uranus (OO)', '1 CUHK E (OG)', '0 Eton AS (CO)']"
19,Round 2,Taha IqbalⒸ,"['3 BA ER (CG)', '2 DLSZ A (CO)', '1 Nottingham A (OG)', '0 Chinese University of Hong Kong b (OO)']"
20,Round 2,Yarn ShihⒸ,"['3 Bates OM (OG)', '2 Carrot Farm (CO)', '1 Eton B (CG)', '0 IDA A (OO)']"
21,Round 2,Marta VasićⒸ,"['3 Diplomatic Academy of Vietnam (CG)', '2 BDU A (OG)', '1 St Andrews Z (OO)', '0 NYUAD AS (CO)']"
22,Round 2,Adel Mostaque AhmedⒸ,"['3 Princeton IL (CO)', '2 Caroll College GG (OG)', '1 DLSU PP (OO)', '0 SHDC c u in the bin room :eyes: (CG)']"
23,Round 2,Ilija IvaniševićⒸ,"['3 UNWE A (CO)', '2 LSE/McGill CP (OG)', '1 Cornell FO (OO)', '0 Speechcraft SG (CG)']"
24,Round 2,"Abhishek AcharyaⒸ , Narayan Sharma","['3 Cornell KP (OO)', '2 Kyiv MC (OG)', '1 Yale SN (CG)', '0 MA Independent GF (CO)']"
25,Round 2,Ethan John FloroⒸ,"['3 SHDC Achilles (CO)', '2 CUHK A (OO)', '1 Eton C (OG)', '0 St Andrews W (CG)']"
26,Round 2,Njuguna MachariaⒸ,"['3 Lukashenko Skywalkerov and Hanasta (CG)', '2 Eton A (OO)', '1 MSU-IIT A (OG)', '0 CUHK C (CO)']"
27,Round 2,Vladimira ŠuflajⒸ,"['3 GUU PS (CO)', '2 SHDC Red (OG)', '1 DTU AK (CG)', '0 IHU YM (OO)']"
28,Round 2,Tin PuljićⒸ,"['3 Hart House BS (OG)', '2 Hybrid TM (OO)', '1 Oxford Union A (CG)', '0 GUU AN (CO)']"
29,Round 2,Mukhtar TashkenbayevⒸ,"['3 GUU FZ (CG)', '2 KNU A (OO)', '1 SUFE 1 (OG)', '0 Speechcraft ZX (CO)']"
30,Round 2,"Uzair TajuddinⒸ , Estera Petrescu","['3 UADS GK (OG)', '2 Stanford PS (CG)', '1 NLIU A (OO)', '0 IHU EM (CO)']"
31,Round 2,"Eva QuinonesⒸ , Vansh Chadha","['3 Is Moss an Endangered Species? (OO)', '2 wę cræve víoleñcè 😾 (CO)', '1 Western/Queens CW (CG)', '0 Mindanao State University - Iligan (OG)']"
32,Round 2,Andrius BudionoⒸ,"['3 Oxford HR (OG)', '2 LSE Mars (CO)', '1 LSE Jupiter (OO)', '0 Speechcraft AD (CG)']"
33,Round 2,Devashish TrivediⒸ,"['3 Yale CT (CG)', '2 Oxford AY (OO)', '1 MSU-IIT C (OG)', '0 Speechcraft AB (CO)']"
34,Round 2,"Jane MentzingerⒸ , Ankit Kumar Shah","['3 Open A&H (CO)', '2 NLU A (CG)', '1 Sofia A (OO)', '0 Taiwanese Adoptees (OG)']"
35,Round 2,"Matt Conley-EvansⒸ , Dani Georgiev","['3 Yale BN (OG)', '2 Princeton CM (OO)', ""1 we're transitioning to become cats (CO)"", '0 they make it a wasteland and call (CG)']"
36,Round 2,Pranav AnandⒸ,"['3 Tokyo TY (OO)', '2 Rosario A (OG)', '1 Swing B (CO)', '0 Swing A (CG)']"
37,Round 3,Ilija IvaniševićⒸ,"['3 Ateneo AV (OG)', '2 Is Moss an Endangered Species? (CO)', '1 UADS GK (OO)', '0 Cornell KP (CG)']"
38,Round 3,"Olja BošnjakⒸ , Estera Petrescu","['3 Sofia A (CG)', '2 Hybrid TM (CO)', '1 Oxford HR (OO)', '0 BA ER (OG)']"
39,Round 3,"Eva QuinonesⒸ , Devashish Trivedi","['3 Tokyo TY (OG)', '2 Taiwanese Adoptees (OO)', '1 Bates OM (CG)', '0 Cornell FO (CO)']"
40,Round 3,Tin PuljićⒸ,"['3 BDU A (OO)', '2 SHDC Achilles (OG)', '1 SHDC Red (CG)', '0 Eton B (CO)']"
41,Round 3,Jane MentzingerⒸ,"['3 Speechcraft ZX (OG)', '2 St Andrews Z (CG)', '1 Caroll College GG (OO)', '0 SUFE 1 (CO)']"
42,Round 3,Abhishek AcharyaⒸ,"['3 Carrot Farm (CG)', ""2 we're transitioning to become cats (OO)"", '1 Eton AS (OG)', '0 CUHK A (CO)']"
43,Round 3,Vladimira ŠuflajⒸ,"['3 DLSU PP (CO)', '2 MSU-IIT C (CG)', '1 Eton C (OO)', '0 Chinese University of Hong Kong b (OG)']"
44,Round 3,Uzair TajuddinⒸ,"['3 NYUAD AS (OO)', '2 they make it a wasteland and call (CO)', '1 CUHK C (CG)', '0 IHU YM (OG)']"
45,Round 3,"KlaudiaⒸ , Narayan Sharma","['3 LSE/McGill CP (CO)', '2 CUHK E (OO)', '1 Diplomatic Academy of Vietnam (OG)', '0 Eton A (CG)']"
46,Round 3,Nikola MichaylovⒸ,"['3 DLSZ A (CG)', '2 Mindanao State University - Iligan (OO)', '1 KNU A (CO)', '0 MA Independent GF (OG)']"
47,Round 3,Pranav AnandⒸ,"['3 Nottingham A (CO)', '2 Speechcraft SG (OG)', '1 GUU AN (CG)', '0 DTU AK (OO)']"
48,Round 3,"Taha IqbalⒸ , Adel Mostaque Ahmed","['3 Lukashenko Skywalkerov and Hanasta (OG)', '2 GUU FZ (CO)', '1 Hart House BS (CG)', '0 NLU A (OO)']"
49,Round 3,"Mukhtar TashkenbayevⒸ , Heidi Silvennoinen","['3 Yale SN (OO)', '2 NLIU A (OG)', '1 Princeton CM (CO)', '0 GUU PS (CG)']"
50,Round 3,Ethan John FloroⒸ,"['3 IDA A (OG)', '2 LSE Jupiter (CO)', '1 SHDC c u in the bin room :eyes: (OO)', '0 Speechcraft AD (CG)']"
51,Round 3,Dani GeorgievⒸ,"['3 Oxford AY (CG)', '2 IHU EM (OG)', '1 LSE Mars (OO)', '0 Rosario A (CO)']"
52,Round 3,"Njuguna MachariaⒸ , Ankit Kumar Shah","['3 wę cræve víoleñcè 😾 (OG)', '2 UNWE A (OO)', '1 Kyiv MC (CG)', '0 Stanford PS (CO)']"
53,Round 3,Marta VasićⒸ,"['3 LSE Uranus (CG)', '2 Open A&H (OO)', '1 Western/Queens CW (OG)', '0 Yale BN (CO)']"
54,Round 3,Matt Conley-EvansⒸ,"['3 Princeton IL (CG)', '2 MSU-IIT A (CO)', '1 Oxford Union A (OG)', '0 Yale CT (OO)']"
55,Round 3,Vansh ChadhaⒸ,"['3 St Andrews W (OO)', '2 Speechcraft AB (OG)', '1 Swing A (CG)', '0 Swing B (CO)']"
56,Round 4,"Tin PuljićⒸ , Ankit Kumar Shah","['3 Ateneo AV (CO)', '2 LSE Uranus (OG)', '1 Lukashenko Skywalkerov and Hanasta (OO)', '0 Is Moss an Endangered Species? (CG)']"
57,Round 4,Abhishek AcharyaⒸ,"['3 Oxford HR (CO)', '2 BA ER (OO)', '1 NYUAD AS (CG)', '0 GUU PS (OG)']"
58,Round 4,Ilija IvaniševićⒸ,"['3 Eton AS (OO)', '2 they make it a wasteland and call (OG)', '1 Bates OM (CG)', '0 Oxford Union A (CO)']"
59,Round 4,"Njuguna MachariaⒸ , Estera Petrescu","['3 Princeton IL (OO)', '2 Hart House BS (CO)', '1 Carrot Farm (OG)', '0 BDU A (CG)']"
60,Round 4,Dani GeorgievⒸ,"['3 Caroll College GG (CO)', '2 CUHK C (OO)', '1 St Andrews W (OG)', '0 MA Independent GF (CG)']"
61,Round 4,Devashish TrivediⒸ,"['3 Rosario A (OO)', '2 Chinese University of Hong Kong b (CO)', '1 Eton B (OG)', '0 SUFE 1 (CG)']"
62,Round 4,Pranav AnandⒸ,"['3 LSE Mars (CG)', '2 Cornell FO (CO)', '1 Yale CT (OG)', '0 MSU-IIT C (OO)']"
63,Round 4,"Eva QuinonesⒸ , Adel Mostaque Ahmed","['3 DLSZ A (OO)', '2 Cornell KP (OG)', '1 Kyiv MC (CO)', '0 CUHK E (CG)']"
64,Round 4,Narayan SharmaⒸ,"['3 SHDC c u in the bin room :eyes: (OO)', '2 CUHK A (OG)', '1 Speechcraft AB (CG)', '0 Swing B (CO)']"
65,Round 4,Taha IqbalⒸ,"['3 Diplomatic Academy of Vietnam (CO)', '2 Western/Queens CW (OO)', '1 Princeton CM (CG)', '0 Oxford AY (OG)']"
66,Round 4,Uzair TajuddinⒸ,"['3 KNU A (CG)', '2 Speechcraft ZX (OO)', '1 Eton A (CO)', '0 DLSU PP (OG)']"
67,Round 4,Jane MentzingerⒸ,"['3 IDA A (CG)', '2 GUU AN (OO)', '1 LSE Jupiter (OG)', '0 Eton C (CO)']"
68,Round 4,Olja BošnjakⒸ,"['3 Hybrid TM (OG)', '2 NLIU A (CO)', '1 GUU FZ (OO)', '0 Taiwanese Adoptees (CG)']"
69,Round 4,Vladimira ŠuflajⒸ,"['3 St Andrews Z (CO)', '2 Speechcraft SG (OG)', '1 SHDC Red (OO)', '0 IHU EM (CG)']"
70,Round 4,Vansh ChadhaⒸ,"['3 IHU YM (OG)', '2 Speechcraft AD (OO)', '1 Swing C (CO)', '0 Swing A (CG)']"
71,Round 4,Marta VasićⒸ,"['3 LSE/McGill CP (OO)', '2 wę cræve víoleñcè 😾 (CG)', '1 Sofia A (CO)', '0 Yale SN (OG)']"
72,Round 4,Daniel BermanⒸ,"['3 Yale BN (CO)', '2 MSU-IIT A (OO)', '1 NLU A (OG)', '0 Mindanao State University - Iligan (CG)']"
73,Round 4,Nikola MichaylovⒸ,"[""3 we're transitioning to become cats (CO)"", '2 SHDC Achilles (OO)', '1 Nottingham A (CG)', '0 Stanford PS (OG)']"
74,Round 4,KlaudiaⒸ,"['3 Open A&H (OO)', '2 UNWE A (OG)', '1 Tokyo TY (CO)', '0 UADS GK (CG)']"
75,Round 5,"Njuguna MachariaⒸ , Pranav Anand","['3 Ateneo AV (CO)', '2 wę cræve víoleñcè 😾 (CG)', '1 LSE/McGill CP (OO)', '0 LSE Uranus (OG)']"
76,Round 5,Dani GeorgievⒸ,"['3 IDA A (CO)', '2 BA ER (OO)', '1 GUU AN (OG)', '0 Princeton CM (CG)']"
77,Round 5,"Ethan John FloroⒸ , Adel Mostaque Ahmed","['3 Stanford PS (CO)', '2 Bates OM (OO)', '1 Rosario A (CG)', '0 Oxford AY (OG)']"
78,Round 5,"Heidi SilvennoinenⒸ , Klaudia","['3 Oxford HR (CG)', '2 St Andrews Z (OO)', '1 BDU A (CO)', '0 KNU A (OG)']"
79,Round 5,"Devashish TrivediⒸ , Yarn Shih","['3 NLU A (CG)', '2 Speechcraft ZX (CO)', '1 Caroll College GG (OO)', '0 they make it a wasteland and call (OG)']"
80,Round 5,Taha IqbalⒸ,"['3 Swing A (OG)', '2 GUU FZ (CO)', '1 Carrot Farm (CG)', '0 Western/Queens CW (OO)']"
81,Round 5,Narayan SharmaⒸ,"['3 MSU-IIT C (OG)', '2 Chinese University of Hong Kong b (CG)', '1 Eton B (OO)', '0 Speechcraft AB (CO)']"
82,Round 5,Nikola MichaylovⒸ,"['3 Taiwanese Adoptees (CO)', '2 Cornell FO (CG)', '1 SHDC Red (OO)', '0 CUHK C (OG)']"
83,Round 5,Marta VasićⒸ,"['3 Cornell KP (CG)', '2 Tokyo TY (OO)', '1 Diplomatic Academy of Vietnam (CO)', '0 Hart House BS (OG)']"
84,Round 5,Ankit Kumar ShahⒸ,"['3 DLSU PP (OO)', '2 SHDC c u in the bin room :eyes: (CO)', '1 CUHK A (OG)', '0 GUU PS (CG)']"
85,Round 5,"Vladimira ŠuflajⒸ , Vansh Chadha","['3 CUHK E (CO)', '2 Nottingham A (CG)', '1 Speechcraft SG (OO)', '0 LSE Mars (OG)']"
86,Round 5,Olja BošnjakⒸ,"['3 Lukashenko Skywalkerov and Hanasta (CO)', '2 Open A&H (CG)', '1 UNWE A (OO)', '0 DLSZ A (OG)']"
87,Round 5,Uzair TajuddinⒸ,"['3 Eton A (OG)', '2 Mindanao State University - Iligan (CG)', '1 NYUAD AS (OO)', '0 St Andrews W (CO)']"
88,Round 5,Tin PuljićⒸ,"['3 UADS GK (CO)', '2 MSU-IIT A (OO)', '1 Eton AS (OG)', '0 Kyiv MC (CG)']"
89,Round 5,Andrius BudionoⒸ,"['3 MA Independent GF (OO)', '2 Speechcraft AD (CO)', '1 SUFE 1 (CG)', '0 Eton C (OG)']"
90,Round 5,"Mukhtar TashkenbayevⒸ , Estera Petrescu","['3 Is Moss an Endangered Species? (OO)', '2 Yale BN (CG)', '1 Hybrid TM (CO)', '0 Princeton IL (OG)']"
91,Round 5,Matt Conley-EvansⒸ,"['3 Oxford Union A (OO)', '2 LSE Jupiter (CO)', '1 IHU YM (CG)', '0 IHU EM (OG)']"
92,Round 5,Ilija IvaniševićⒸ,"['3 Sofia A (OO)', ""2 we're transitioning to become cats (OG)"", '1 NLIU A (CG)', '0 Yale SN (CO)']"
93,Open Quarter Final,"Uzair TajuddinⒸ , Mukhtar Tashkenbayev , Olja Bošnjak","['1 Ateneo AV (OO)', '1 LSE Uranus (CG)', '0 Cornell KP (CO)', '0 Diplomatic Academy of Vietnam (OG)']"
94,Open Quarter Final,"Vladimira ŠuflajⒸ , Njuguna Macharia , Taha Iqbal","['1 Hybrid TM (OG)', '1 wę cræve víoleñcè 😾 (OO)', '0 Oxford HR (CG)', '0 Sofia A (CO)']"
95,Open Quarter Final,"Ethan John FloroⒸ , Klaudia , Marta Vasić","['1 Is Moss an Endangered Species? (CO)', '1 UNWE A (OO)', '0 Open A&H (CG)', '0 UADS GK (OG)']"
96,Open Quarter Final,"Pranav AnandⒸ , Estera Petrescu , Ilija Ivanišević","['1 LSE/McGill CP (CO)', ""1 we're transitioning to become cats (OO)"", '0 Lukashenko Skywalkerov and Hanasta (CG)', '0 Yale BN (OG)']"
97,ESL Semi Final,"Abhishek AcharyaⒸ , Jane Mentzinger , Tin Puljić","['1 Carrot Farm (OO)', '1 MSU-IIT A (CO)', '0 Cornell FO (OG)', '0 Tokyo TY (CG)']"
98,ESL Semi Final,"Matt Conley-EvansⒸ , Devashish Trivedi , Eva Quinones","['1 NLIU A (CG)', '1 NLU A (OO)', '0 Kyiv MC (CO)', '0 Speechcraft ZX (OG)']"
99,Open Semi Final,"Ilija IvaniševićⒸ , Klaudia , Yarn Shih","['1 Ateneo AV (OG)', '1 LSE/McGill CP (OO)', '0 LSE Uranus (CG)', ""0 we're transitioning to become cats (CO)""]"
100,Open Semi Final,"Tin PuljićⒸ , Eva Quinones , Njuguna Macharia","['1 Is Moss an Endangered Species? (CG)', '1 wę cræve víoleñcè 😾 (OG)', '0 Hybrid TM (CO)', '0 UNWE A (OO)']"
