,Round Name,Panel,Rankings
0,Round 1,"barkⒸ , Chets","['3 ANU A (OG)', '2 swing a (CO)', '1 Twee de da da (OO)', '0 redacted and Dayna (CG)']"
1,Round 1,"CJ SalayoⒸ , Brynnie Rafe , Luna","['3 Queer Deers (OO)', '2 Liver Cancer (CO)', '1 Bading Badang (CG)', '0 Yass Gurl Slay! (OG)']"
2,Round 1,"Leauren JiⒸ , Allain Christopher","['3 Di Ka Mahal ng Tatay Mo (OO)', '2 Bronwyn + James (CG)', '1 Gay Bar Queens (OG)', ""0 Sir Phil's Ymaes (CO)""]"
3,Round 1,"Andrew GaulkeⒸ , redacted","['3 Fire Breathing Water Dragons (OG)', '2 The Subtle Knife (OO)', '1 UPD but Davao (CG)', '0 cazooa (CO)']"
4,Round 1,"Adya SharmaⒸ , Lemmy","['3 wasted (geddit?) potential (no like (CO)', '2 UPC kaya mo ba to o kaya mo ba to (OO)', '1 One of us is looking for a third (CG)', '0 swing b (OG)']"
5,Round 2,"Andrew GaulkeⒸ , Lemmy","['3 ANU A (CO)', '2 wasted (geddit?) potential (no like (OG)', '1 Fire Breathing Water Dragons (CG)', '0 Liver Cancer (OO)']"
6,Round 2,"Adya SharmaⒸ , Petiho Beatrice","['3 The Subtle Knife (CO)', '2 One of us is looking for a third (OO)', '1 swing a (CG)', '0 Bading Badang (OG)']"
7,Round 2,"Vaishnavi SharmaⒸ , CJ Salayo","['3 UPC kaya mo ba to o kaya mo ba to (CO)', '2 Bronwyn + James (OO)', '1 Queer Deers (CG)', '0 Di Ka Mahal ng Tatay Mo (OG)']"
8,Round 2,"Brynnie RafeⒸ , Leauren Ji","['3 Gay Bar Queens (CG)', '2 UPD but Davao (OG)', '1 Twee de da da (CO)', '0 cazooa (OO)']"
9,Round 2,"barkⒸ , Allain Christopher , redacted","['3 swing b (CG)', ""2 Sir Phil's Ymaes (OG)"", '1 Yass Gurl Slay! (OO)', '0 redacted and Dayna (CO)']"
10,Round 3,"Leauren JiⒸ , Vaishnavi Sharma","['3 ANU A (OO)', '2 The Subtle Knife (OG)', '1 UPC kaya mo ba to o kaya mo ba to (CO)', '0 wasted (geddit?) potential (no like (CG)']"
11,Round 3,"LemmyⒸ , Allain Christopher","['3 Bading Badang (OO)', '2 redacted and Dayna (OG)', '1 Yass Gurl Slay! (CO)', '0 cazooa (CG)']"
12,Round 3,"CJ SalayoⒸ , Chets","['3 Fire Breathing Water Dragons (CO)', '2 Bronwyn + James (OG)', '1 Gay Bar Queens (OO)', '0 Queer Deers (CG)']"
13,Round 3,"Brynnie RafeⒸ , Petiho Beatrice","['3 Di Ka Mahal ng Tatay Mo (CO)', ""2 Sir Phil's Ymaes (CG)"", '1 swing a (OG)', '0 UPD but Davao (OO)']"
14,Round 3,Andrew GaulkeⒸ,"['3 One of us is looking for a third (CO)', '2 swing b (OO)', '1 Liver Cancer (CG)', '0 Twee de da da (OG)']"
15,Round 4,"Andrew GaulkeⒸ , Joel Law","['3 The Subtle Knife (CG)', '2 UPC kaya mo ba to o kaya mo ba to (OG)', '1 Fire Breathing Water Dragons (OO)', '0 ANU A (CO)']"
16,Round 4,"ChetsⒸ , CJ Salayo","[""3 Sir Phil's Ymaes (OO)"", '2 Liver Cancer (OG)', '1 UPD but Davao (CO)', '0 Bading Badang (CG)']"
17,Round 4,"Leauren JiⒸ , redacted","['3 Di Ka Mahal ng Tatay Mo (CG)', '2 wasted (geddit?) potential (no like (OO)', '1 One of us is looking for a third (OG)', '0 Bronwyn + James (CO)']"
18,Round 4,"Allain ChristopherⒸ , Luna","['3 Yass Gurl Slay! (CO)', '2 Twee de da da (CG)', '1 redacted and Dayna (OO)', '0 cazooa (OG)']"
19,Round 4,"Brynnie RafeⒸ , Vaishnavi Sharma","['3 swing a (OO)', '2 swing b (CG)', '1 Gay Bar Queens (CO)', '0 Queer Deers (OG)']"
20,Semifinals,"Andrew GaulkeⒸ , Allain Christopher , Brynnie Rafe","['1 ANU A (OO)', '1 One of us is looking for a third (CO)', '0 Di Ka Mahal ng Tatay Mo (OG)', '0 wasted (geddit?) potential (no like (CG)']"
21,Semifinals,"Leauren JiⒸ , Lemmy , redacted","['1 Fire Breathing Water Dragons (CO)', '1 The Subtle Knife (OO)', ""0 Sir Phil's Ymaes (OG)"", '0 UPC kaya mo ba to o kaya mo ba to (CG)']"
22,Grand Final,"ChetsⒸ , Allain Christopher , Andrew Gaulke","['1 ANU A (CO)', '0 Fire Breathing Water Dragons (CG)', '0 One of us is looking for a third (OO)', '0 The Subtle Knife (OG)']"
23,Pro Am Final,"ChetsⒸ , CJ Salayo , Vaishnavi Sharma","['1 Bronwyn + James (CG)', '0 Bading Badang (OG)', '0 Gay Bar Queens (CO)', '0 Yass Gurl Slay! (OO)']"
