,Round Name,Panel,Rankings
0,Round 1,"Tin PuljićⒸ , Devashish Trivedi","['3 Ateneo BC (OG)', '2 Ateneo AV (CG)', '1 NLU A (OO)', '0 Hart House NS (CO)']"
1,Round 1,"Enting LeeⒸ , Alice Bertoni","['3 TCD Hist C (CO)', '2 Ateneo PT (OG)', '1 Inner Temple C (CG)', '0 Princeton C (OO)']"
2,Round 1,"Danyal MaqboolⒸ , Alinur Beisenbay","['3 UCD L&H A (CO)', '2 UCL SL (OO)', '1 AUEB (OG)', '0 SISU A (CG)']"
3,Round 1,"Matt HazellⒸ , Momotaz Rahman Megha","['3 Oxford C (CG)', '2 Belgrade A (OO)', '1 Hart House FP (OG)', '0 SPC Blue (CO)']"
4,Round 1,Pranav AnandⒸ,"['3 LSE E (CO)', '2 St Andrews RC (OO)', '1 IIUM 1 (OG)', '0 Boğaziçi A (CG)']"
5,Round 1,Anna ShrederⒸ,"['3 McGill A (OO)', '2 Sunway A (OG)', '1 Johns Hopkins A (CG)', '0 Boğaziçi B (CO)']"
6,Round 1,Halimat Ojone UsmanⒸ,"['3 BRAC A (CO)', '2 Edinburgh A (OG)', '1 KNU A (CG)', '0 UNWE B (OO)']"
7,Round 1,"Ignacio VillarealⒸ , Lucy McManus","['3 Duke A (OG)', '2 Hart House YY (OO)', '1 Bucharest A (CG)', '0 Zagreb PA (CO)']"
8,Round 1,ParthⒸ,"['3 LSE B (OG)', '2 NUJS (OO)', '1 BUET A (CO)', '0 NYUAD A (CG)']"
9,Round 1,Han YangⒸ,"['3 Princeton B (OO)', '2 Swing (OG)', '1 Chicago A (CG)', '0 Imperial B (CO)']"
10,Round 1,"Shudipto R. AhmedⒸ , Atiya Al-Hammud","['3 UNWE C (CO)', '2 LSE C (OG)', '1 NSU A (OO)', '0 CIDS Black (CG)']"
11,Round 1,lior finkelmanⒸ,"['3 Zagreb LR (CG)', '2 KCL A (OG)', '1 CIDS Gold (OO)', '0 Haifa B (CO)']"
12,Round 1,Erasmus SegbefiaⒸ,"['3 Harvard B (CO)', '2 Oxford B (OG)', '1 UCSD B (OO)', '0 CIDS Red (CG)']"
13,Round 1,"Ilija IvaniševićⒸ , Vanessa Chen","['3 Cornell A (OO)', '2 LSE D (OG)', '1 KCL B (CO)', '0 GUU HS (CG)']"
14,Round 1,"Nayara NoorⒸ , Uzair Tajuddin","['3 Cornell B (OG)', '2 St Andrews TF (CO)', '1 Harvard A (CG)', '0 Inner Temple A (OO)']"
15,Round 1,"EmeryⒸ , Gavyn Marshall","['3 Leiden AYA (OG)', '2 UPenn A (CG)', '1 Cornell C (OO)', '0 SISU C (CO)']"
16,Round 1,"Milos MarjanovicⒸ , Flora Baek","['3 Nottingham A (OO)', '2 NYUAD B (CO)', '1 DAV A (OG)', '0 Imperial C (CG)']"
17,Round 1,"Juanita Hincapie RestrepoⒸ , Teodor Grama","['3 Oxford D (OG)', '2 UCL PP (CG)', '1 Royal Holloway C (CO)', '0 Durham AY (OO)']"
18,Round 1,Matt Conley-EvansⒸ,"['3 LSE A (OG)', '2 Durham SB (CO)', '1 Royal Holloway B (OO)', '0 Gadjah Mada (CG)']"
19,Round 1,Vladimira ŠuflajⒸ,"['3 Sciences Po X (CG)', '2 St Andrews OW (OO)', '1 Edinburgh B (CO)', '0 IIUM 2 (OG)']"
20,Round 1,Jess MusulinⒸ,"['3 Princeton A (CO)', '2 Vienna KL (OO)', '1 Edinburgh C (OG)', '0 Sciences Po Z (CG)']"
21,Round 1,Ron LeizrowiceⒸ,"['3 GUU DV (CO)', '2 UCC LawSoc A (OO)', '1 Inner Temple B (CG)', '0 XJTLU A (OG)']"
22,Round 1,Tamkeen NawabⒸ,"['3 UNWE A (CG)', '2 SXCM A (OG)', '1 GUU NZ (CO)', '0 UCSD A (OO)']"
23,Round 1,"Marta VasićⒸ , Tawfique Elahi","['3 UCL LB (OO)', '2 Haifa A (CO)', '1 UCLA A (OG)', ""0 Lincoln's Inn A (CG)""]"
24,Round 1,"Tengku OmarⒸ , Dani Georgiev","['3 Hart House AG (CG)', '2 Trivium A (CO)', '1 Imperial A (OO)', '0 NUS Debate (OG)']"
25,Round 1,Daniel WiyartaⒸ,"['3 Utrecht A (CO)', '2 Wellesley A (CG)', '1 Hart House SB (OO)', '0 Redacted (OG)']"
26,Round 1,"Ethan CurryⒸ , Bukunmi Babatunde","['3 TCD Hist A (OG)', '2 IIUM 3 (CO)', '1 Oxford E (OO)', '0 SLSP - D (CG)']"
27,Round 1,"Katherine HarrisⒸ , Joseph Fennell","['3 KCL C (CG)', '2 Rosario A (OG)', '1 Leiden B (OO)', ""0 Lincoln's Inn B (CO)""]"
28,Round 1,Alex LovellⒸ,"['3 Zagreb PP (CG)', '2 Leiden A (OG)', '1 Royal Holloway A (CO)', '0 SISU D (OO)']"
29,Round 1,"Aoileann Ní MhurchúⒸ , Juan Vega","['3 Oxford A (OO)', '2 UCD L&H B (CG)', '1 Oxford F (CO)', '0 UCSD C (OG)']"
30,Round 1,Cerys WalshⒸ,"['3 Vienna BE (CG)', '2 Symbiosis Law School Pune A (OO)', '1 Sciences Po V (CO)', '0 SISU B (OG)']"
31,Round 2,"Klaudia MaciejewskaⒸ , Danyal Maqbool","['3 Ateneo AV (OG)', '2 Hart House YY (CG)', '1 Wellesley A (OO)', '0 UCC LawSoc A (CO)']"
32,Round 2,"Njuguna MachariaⒸ , Alice Bertoni","['3 LSE E (OG)', '2 Ateneo BC (CG)', '1 Zagreb PP (OO)', '0 UNWE A (CO)']"
33,Round 2,Matt Conley-EvansⒸ,"['3 Ateneo PT (CO)', '2 St Andrews RC (OG)', '1 LSE C (OO)', '0 IIUM 3 (CG)']"
34,Round 2,"Alex LovellⒸ , Lucy McManus","['3 UCSD B (OG)', '2 AUEB (OO)', '1 CIDS Gold (CG)', '0 Cornell C (CO)']"
35,Round 2,Aoileann Ní MhurchúⒸ,"['3 Inner Temple C (OG)', '2 Edinburgh A (CG)', '1 NYUAD B (OO)', '0 Belgrade A (CO)']"
36,Round 2,Devashish TrivediⒸ,"['3 UCSD A (OG)', '2 Zagreb PA (CG)', '1 Boğaziçi A (OO)', '0 CIDS Red (CO)']"
37,Round 2,Abhishek AcharyaⒸ,"['3 UNWE B (CG)', '2 Boğaziçi B (OO)', '1 Hart House NS (OG)', '0 IIUM 2 (CO)']"
38,Round 2,"Marta VasićⒸ , Gavyn Marshall","['3 LSE A (CO)', '2 BRAC A (OG)', '1 Princeton A (CG)', '0 Cornell B (OO)']"
39,Round 2,"Daniel WiyartaⒸ , Mo’men Ismail","['3 Harvard A (OO)', '2 Bucharest A (OG)', '1 BUET A (CG)', '0 KNU A (CO)']"
40,Round 2,"Cerys WalshⒸ , Dani Georgiev","['3 NLU A (CG)', '2 Chicago A (OO)', '1 Leiden B (CO)', '0 Inner Temple B (OG)']"
41,Round 2,"Vladimira ŠuflajⒸ , Joseph Fennell","['3 Haifa B (OO)', '2 Sciences Po Z (OG)', '1 CIDS Black (CO)', '0 SPC Blue (CG)']"
42,Round 2,"Nar Sher MayⒸ , lior finkelman","['3 Oxford A (CG)', '2 Sciences Po X (OG)', '1 Oxford D (OO)', '0 Cornell A (CO)']"
43,Round 2,Tamkeen NawabⒸ,"['3 UCLA A (CO)', '2 SISU B (OO)', '1 DAV A (CG)', '0 Royal Holloway B (OG)']"
44,Round 2,"Milos MarjanovicⒸ , Emery","['3 Duke A (OO)', '2 UCL LB (CG)', '1 Oxford C (CO)', '0 KCL C (OG)']"
45,Round 2,"Aliya FairuzⒸ , Jenni Morris","['3 Gadjah Mada (OO)', '2 Imperial B (CG)', ""1 Lincoln's Inn A (OG)"", '0 Durham AY (CO)']"
46,Round 2,"Ethan CurryⒸ , Flora Baek","['3 Leiden A (CG)', '2 Durham SB (OG)', '1 UCL SL (CO)', '0 SXCM A (OO)']"
47,Round 2,"Nayara NoorⒸ , Teodor Grama","['3 Hart House SB (OG)', '2 Edinburgh B (OO)', '1 GUU NZ (CG)', '0 Hart House FP (CO)']"
48,Round 2,"Anna ShrederⒸ , Tawfique Elahi","['3 KCL B (OG)', '2 Sciences Po V (OO)', '1 Edinburgh C (CG)', '0 Oxford E (CO)']"
49,Round 2,"Matt HazellⒸ , Atiya Al-Hammud","['3 Hart House AG (OG)', '2 GUU DV (OO)', '1 Vienna BE (CO)', '0 UCD L&H A (CG)']"
50,Round 2,ParthⒸ,"['3 GUU HS (OG)', '2 NUS Debate (CG)', '1 Imperial C (OO)', '0 UCSD C (CO)']"
51,Round 2,"Enting LeeⒸ , Erasmus Segbefia","['3 KCL A (CG)', '2 Haifa A (OO)', '1 Sunway A (CO)', '0 UCD L&H B (OG)']"
52,Round 2,"Juanita Hincapie RestrepoⒸ , Uzair Tajuddin","['3 Harvard B (CG)', '2 TCD Hist C (OG)', '1 Princeton B (CO)', '0 Zagreb LR (OO)']"
53,Round 2,"Tengku OmarⒸ , Bukunmi Babatunde","['3 Johns Hopkins A (OG)', '2 IIUM 1 (CO)', '1 Oxford F (CG)', ""0 Lincoln's Inn B (OO)""]"
54,Round 2,"Tin PuljićⒸ , Katherine Harris","['3 Imperial A (OG)', '2 NSU A (CG)', '1 Royal Holloway C (OO)', '0 Inner Temple A (CO)']"
55,Round 2,"Jess MusulinⒸ , Pranav Anand","['3 McGill A (OG)', '2 Utrecht A (OO)', '1 TCD Hist A (CO)', '0 Leiden AYA (CG)']"
56,Round 2,"Ilija IvaniševićⒸ , Wairimu Manyara","['3 LSE B (CG)', '2 UNWE C (OO)', '1 St Andrews TF (OG)', '0 Nottingham A (CO)']"
57,Round 2,"Shudipto R. AhmedⒸ , Vanessa Chen","['3 UPenn A (OG)', '2 LSE D (CO)', '1 Rosario A (OO)', '0 Royal Holloway A (CG)']"
58,Round 2,"Ignacio VillarealⒸ , Momotaz Rahman Megha","['3 Oxford B (CG)', '2 Trivium A (OO)', '1 NUJS (OG)', '0 Symbiosis Law School Pune A (CO)']"
59,Round 2,Halimat Ojone UsmanⒸ,"['3 NYUAD A (OO)', '2 SLSP - D (OG)', '1 SISU A (CO)', '0 SISU D (CG)']"
