,Round Name,Panel,Rankings
0,Round 1,"Ron LeizrowiceⒸ , Sarish , Aimee BebbingtonⓉ","['3 LSE Timon & Pumbaa (CG)', '2 Debate monk sounds abusive (CO)', '1 Soma (OO)', '0 Alex + Beth (OG)']"
1,Round 1,"Katherine HarrisⒸ , Heidi Silvennoinen , Jason","['3 The Present and the Future (OO)', '2 durham is a part of ssdc the same w (OG)', '1 Belgrade GAS (CG)', '0 Boğaziçi A (CO)']"
2,Round 1,"Petar ZecⒸ , Adya Sharma , Petiho Beatrice","['3 KCL Actually Wajeeh Is Malaysian (CG)', '2 Boil a pot of water Add the palak l (CO)', '1 Quite Novice Overlords (OG)', '0 Belgrade MJ (OO)']"
3,Round 1,"Jessica MusulinⒸ , Brynley Hamer , Alex PalmerⓉ","['3 Planet X-istential Crisis (OG)', '2 Belgrade Opovo (OO)', '1 NU AN (CO)', '0 Whip-stensions are legitimate (CG)']"
4,Round 1,"Rumen MarinovⒸ , Callum Duffy , Prince Mohammad Zaeem Quddussi","['3 DAV DH (CG)', '2 Here to confirm the stereotypes (OG)', '1 UCL CC (OO)', '0 Boğaziçi B (CO)']"
5,Round 1,"Alexandra McCreadieⒸ , Olja , William Smith","['3 Panel, there are two key questions (OG)', '2 Boğaziçi C (CG)', '1 Leiden AYA (OO)', '0 EUDU LD (CO)']"
6,Round 1,"Petar ŽnidarⒸ , Parth , Sarah Dewar","['3 The Negligible Epistemic Delta (OG)', '2 Postmodern Neo-Marxists (CO)', '1 Cambridge SM (OO)', '0 Sheff Boyardee (CG)']"
7,Round 1,"Joseph LewisⒸ , Matthew Hamer , Piotr MałkowskiⓉ","['3 Earth Praia (OO)', '2 NU AA (OG)', '1 UCL NZ (CG)', '0 Claudette (CO)']"
8,Round 1,"Nikola MichaylovⒸ , Bilal Najaf , Johan Lukito , Matthew Midlane","['3 GUU Inside (CO)', '2 Evil EUDU Be Like (OG)', ""1 we dumped our APD partner, so we're (OO)"", '0 LSD (CG)']"
9,Round 1,"Arie MoraⒸ , Aryan Gupta , Shaurya Chandravanshi","['3 GUU What (CO)', '2 UofL UoL (CG)', '1 UCL NJ (OO)', '0 Full Breast Turkeys (OG)']"
10,Round 1,"Tin PuljićⒸ , Ethan John Floro , Jibran Ahmad Khan , Gunnar EnlowⓉ","['3 UWODS Off The Grid (CO)', '2 GUU Jalebi Babies (CG)', '1 Leuven A (OO)', '0 St Andrews AC (OG)']"
11,Round 2,"Katherine HarrisⒸ , Jibran Ahmad Khan , Matthew Midlane","['3 St Andrews AC (CO)', '2 LSD (OG)', '1 Full Breast Turkeys (CG)', '0 Alex + Beth (OO)']"
12,Round 2,"Ron LeizrowiceⒸ , Johan Lukito , Robyn RogersⓉ","['3 Sheff Boyardee (OG)', '2 Whip-stensions are legitimate (OO)', '1 Belgrade GAS (CO)', '0 Soma (CG)']"
13,Round 2,"Alexandra McCreadieⒸ , Aryan Gupta , Mehul Joshi","['3 EUDU LD (CG)', '2 Boğaziçi B (OO)', '1 Belgrade MJ (CO)', '0 Claudette (OG)']"
14,Round 2,"Nikola MichaylovⒸ , Callum Duffy , Devashish Trivedi , Jason","['3 Boil a pot of water Add the palak l (CG)', '2 Postmodern Neo-Marxists (OO)', '1 Belgrade Opovo (OG)', '0 UCL NJ (CO)']"
15,Round 2,"Arie MoraⒸ , Sarish , William Smith","['3 Leiden AYA (OG)', '2 UCL CC (CO)', ""1 we dumped our APD partner, so we're (CG)"", '0 Boğaziçi A (OO)']"
16,Round 2,"Tin PuljićⒸ , Adya Sharma , Sarah Dewar","['3 KCL Actually Wajeeh Is Malaysian (OO)', '2 DAV DH (CO)', '1 Earth Praia (CG)', '0 Boğaziçi C (OG)']"
17,Round 2,"Namita PandeyⒸ , Brynley Hamer , Matthew Hamer , Olja","['3 UCL NZ (OO)', '2 Cambridge SM (OG)', '1 Quite Novice Overlords (CG)', '0 Leuven A (CO)']"
18,Round 2,"Jessica MusulinⒸ , Dani Georgiev , Alex PalmerⓉ","['3 Debate monk sounds abusive (OG)', '2 Evil EUDU Be Like (OO)', '1 NU AA (CO)', '0 NU AN (CG)']"
19,Round 2,"Rumen MarinovⒸ , Ethan John Floro , Parth , Prince Mohammad Zaeem Quddussi","['3 durham is a part of ssdc the same w (CO)', '2 GUU Jalebi Babies (OG)', '1 Here to confirm the stereotypes (CG)', '0 UofL UoL (OO)']"
20,Round 2,"Klaudia MaciejewskaⒸ , Heidi Silvennoinen , Petar Žnidar , Piotr MałkowskiⓉ","['3 UWODS Off The Grid (OG)', '2 GUU Inside (OO)', '1 Planet X-istential Crisis (CG)', '0 LSE Timon & Pumbaa (CO)']"
21,Round 2,"Joseph LewisⒸ , Petar Zec , Gunnar EnlowⓉ","['3 Panel, there are two key questions (CO)', '2 The Negligible Epistemic Delta (OO)', '1 GUU What (OG)', '0 The Present and the Future (CG)']"
22,Round 3,"Petar ŽnidarⒸ , Aryan Gupta , Johan Lukito","['3 UCL NJ (OG)', '2 Leuven A (CG)', '1 Full Breast Turkeys (OO)', '0 Alex + Beth (CO)']"
